"code_system","code","display","code_dicom"
"http://snomed.info/sct","41216001","Prostate","PROSTATE"
"http://snomed.info/sct","23438002","Profunda femoris vein","PROFFEMV"
"http://snomed.info/sct","31677005","Profunda femoris artery","PROFFEMA"
"http://snomed.info/sct","13363002","Posterior tibial artery","POSTIBIALA"
"http://snomed.info/sct","43119007","Posterior communicating artery","POSCOMMA"
"http://snomed.info/sct","32764006","Portal vein","PORTALV"
"http://snomed.info/sct","56849005","Popliteal vein","POPLITEALV"
"http://snomed.info/sct","32361000","Popliteal fossa","POPLITEALFOSSA"
"http://snomed.info/sct","43899006","Popliteal artery","POPLITEALA"
"http://snomed.info/sct","78067005","Placenta","PLACENTA"
"http://snomed.info/sct","312535008","Pharynx and larynx","PHARYNXLARYNX"
"http://snomed.info/sct","54066008","Pharynx","PHARYNX"
"http://snomed.info/sct","706342009","Phantom","PHANTOM"
"http://snomed.info/sct","8821006","Peroneal artery","PERONEALA"
"http://snomed.info/sct","38864007","Perineum","PERINEUM"
"http://snomed.info/sct","18911002","Penis","PENIS"
"http://snomed.info/sct","282044005","Penile artery","PENILEA"
"http://snomed.info/sct","1231522001","Pelvis and lower extremities","PELVISLOWEXTREMT"
"http://snomed.info/sct","816092008","Pelvis","PELVIS"
"http://snomed.info/sct","70382005","Posterior cerebral artery","PCA"
"http://snomed.info/sct","64234005","Patella","PATELLA"
"http://snomed.info/sct","45289007","Parotid gland","PAROTID"
"http://snomed.info/sct","111002","Parathyroid","PARATHYROID"
"http://snomed.info/sct","91691001","Parasternal","PARASTERNAL"
"http://snomed.info/sct","69930009","Pancreatic duct","PANCREATICDUCT"
"http://snomed.info/sct","15776009","Pancreas","PANCREAS"
"http://snomed.info/sct","110621006","Pancreatic duct and bile duct systems","PANCBILEDUCT"
"http://snomed.info/sct","15497006","Ovary","OVARY"
"http://snomed.info/sct","363654007","Orbital structure","ORBIT"
"http://snomed.info/sct","55024004","Optic canal","OPTICCANAL"
"http://snomed.info/sct","53549008","Ophthalmic artery","OPHTHALMICA"
"http://snomed.info/sct","31145008","Occipital artery","OCCPITALA"
"http://snomed.info/sct","32114007","Occipital vein","OCCIPTALV"
"http://snomed.info/sct","45206002","Nose","NOSE"
"http://snomed.info/sct","416319003","Neck, Chest, Abdomen and Pelvis","NECKCHESTABDPELV"
"http://snomed.info/sct","416152001","Neck, Chest and Abdomen","NECKCHESTABDOMEN"
"http://snomed.info/sct","417437006","Neck and Chest","NECKCHEST"
"http://snomed.info/sct","45048000","Neck","NECK"
"http://snomed.info/sct","360955006","Nasopharynx","NASOPHARYNX"
"http://snomed.info/sct","123851003","Mouth","MOUTH"
"http://snomed.info/sct","243977002","Morisons pouch","MORISONSPOUCH"
"http://snomed.info/sct","273099000","Middle hepatic vein","MIDHEPATICV"
"http://snomed.info/sct","128583004","Mesenteric vein","MESENTRICV"
"http://snomed.info/sct","86570000","Mesenteric artery","MESENTRICA"
"http://snomed.info/sct","72410000","Mediastinum","MEDIASTINUM"
"http://snomed.info/sct","17232002","Middle cerebral artery","MCA"
"http://snomed.info/sct","70925003","Maxilla","MAXILLA"
"http://snomed.info/sct","59066005","Mastoid bone","MASTOID"
"http://snomed.info/sct","91609006","Mandible","MANDIBLE"
"http://snomed.info/sct","87878005","Left ventricle","LVENTRICLE"
"http://snomed.info/sct","86367003","Left upper quadrant of abdomen","LUQ"
"http://snomed.info/sct","39607008","Lung","LUNG"
"http://snomed.info/sct","91747007","Lumen of blood vessel","LUMEN"
"http://snomed.info/sct","34635009","Lumbar artery","LUMBARA"
"http://snomed.info/sct","52612000","Lumbar region","LUMBAR"
"http://snomed.info/sct","43863001","Superior left pulmonary vein","LSUPPULMONARYV"
"http://snomed.info/sct","1217253001","Lumbo-sacral spine","LSSPINE"
"http://snomed.info/sct","122496007","Lumbar spine","LSPINE"
"http://snomed.info/sct","50408007","Left pulmonary artery","LPULMONARYA"
"http://snomed.info/sct","70253006","Left portal vein","LPORTALV"
"http://snomed.info/sct","61685007","Lower limb","LOWERLIMB"
"http://snomed.info/sct","30021000","Lower leg","LOWERLEG"
"http://snomed.info/sct","1017210004","Left lumbar region","LLUMBAR"
"http://snomed.info/sct","68505006","Left lower quadrant of abdomen","LLQ"
"http://snomed.info/sct","10200004","Liver","LIVER"
"http://snomed.info/sct","85119005","Left inguinal region","LINGUINAL"
"http://snomed.info/sct","113264009","Lingual artery","LINGUALA"
"http://snomed.info/sct","133945003","Left hypochondriac region","LHYPOCHONDRIAC"
"http://snomed.info/sct","273202007","Left hepatic vein","LHEPATICV"
"http://snomed.info/sct","113270003","Left femoral artery","LFEMORALA"
"http://snomed.info/sct","66720007","Lateral Ventricle","LATVENTRICLE"
"http://snomed.info/sct","82471001","Left atrium","LATRIUM"
"http://snomed.info/sct","4596009","Larynx","LARYNX"
"http://snomed.info/sct","14742008","Large intestine","LARGEINTESTINE"
"http://snomed.info/sct","59749000","Lacrimal artery","LACRIMALA"
"http://snomed.info/sct","72696002","Knee","KNEE"
"http://snomed.info/sct","64033007","Kidney","KIDNEY"
"http://snomed.info/sct","39352004","Joint","JOINT"
"http://snomed.info/sct","21306003","Jejunum","JEJUNUM"
"http://snomed.info/sct","661005","Jaw region","JAW"
"http://snomed.info/sct","1101003","Intracranial","INTRACRANIAL"
"http://snomed.info/sct","69327007","Internal mammary artery","INTMAMMARYA"
"http://snomed.info/sct","12123001","Internal jugular vein","INTJUGULARV"
"http://snomed.info/sct","90024005","Internal iliac artery","INTILIACA"
"http://snomed.info/sct","8887007","Innominate vein","INNOMINATEV"
"http://snomed.info/sct","12691009","Innominate artery","INNOMINATEA"
"http://snomed.info/sct","26893007","Inguinal region","INGUINAL"
"http://snomed.info/sct","64131007","Inferior vena cava","INFVENACAVA"
"http://snomed.info/sct","33795007","Inferior mesenteric artery","INFMESA"
"http://snomed.info/sct","22356005","Ilium","ILIUM"
"http://snomed.info/sct","244411005","Iliac vein","ILIACV"
"http://snomed.info/sct","10293006","Iliac artery","ILIACA"
"http://snomed.info/sct","34516001","Ileum","ILEUM"
"http://snomed.info/sct","86117002","Internal carotid artery","ICA"
"http://snomed.info/sct","361078006","Internal Auditory Canal","IAC"
"http://snomed.info/sct","81502006","Hypopharynx","HYPOPHARYNX"
"http://snomed.info/sct","11708003","Hypogastric region","HYPOGASTRIC"
"http://snomed.info/sct","85050009","Humerus","HUMERUS"
"http://snomed.info/sct","24136001","Hip joint","HIP"
"http://snomed.info/sct","8993003","Hepatic vein","HEPATICV"
"http://snomed.info/sct","76015000","Hepatic artery","HEPATICA"
"http://snomed.info/sct","80891009","Heart","HEART"
"http://snomed.info/sct","774007","Head and Neck","HEADNECK"
"http://snomed.info/sct","69536005","Head","HEAD"
"http://snomed.info/sct","85562004","Hand","HAND"
"http://snomed.info/sct","60734001","Great saphenous vein","GSV"
"http://snomed.info/sct","46862004","Gluteal region","GLUTEAL"
"http://snomed.info/sct","300571009","Gestational sac","GESTSAC"
"http://snomed.info/sct","128559007","Genicular artery","GENICULARA"
"http://snomed.info/sct","110568007","Gastric vein","GASTRICV"
"http://snomed.info/sct","28231008","Gallbladder","GALLBLADDER"
"http://snomed.info/sct","14975008","Forearm","FOREARM"
"http://snomed.info/sct","56459004","Foot","FOOT"
"http://snomed.info/sct","79361005","Fontanel of skull","FONTANEL"
"http://snomed.info/sct","58602004","Flank","FLANK"
"http://snomed.info/sct","7569003","Finger","FINGER"
"http://snomed.info/sct","87342007","Fibula","FIBULA"
"http://snomed.info/sct","","Fetal pole","FETALPOLE"
"http://snomed.info/sct","","Fetal leg","FETALLEG"
"http://snomed.info/sct","","Fetal heart","FETALHEART"
"http://snomed.info/sct","","Fetal digit","FETALDIGIT"
"http://snomed.info/sct","","Fetal arm","FETALARM"
"http://snomed.info/sct","71341001","Femur","FEMUR"
